study_accession	brief_title	study_pubmed.pubmed_id	study_categorization.research_focus	latest_data_release_version	latest_data_release_date
"SDY1341"	"Vaginal Virome and Preterm Birth (See companion study SDY1206)"	"29738749"	"Preterm Birth"	"DR31"	"2019-06-19"
"SDY1343"	"Toward more predictable birthdays"	"29880692"	"Preterm Birth"	"DR30"	"2019-04-12"
"SDY1361"	"B cell sequencing data from individuals with kidney transplantation (SNS01)"	"19459814"	"Transplantation"	"DR30"	"2019-04-12"
"SDY1363"	"Suspect screening for chemicals in pregnant women"	""	"Preterm Birth"	"DR31"	"2019-06-19"
"SDY1364"	"Determining the Immune Response to MVA85A (tuberculosis vaccine candidate)"	"23844129"	"Vaccine Response"	"DR28"	"2018-09-21"
"SDY1365"	"UC MAIT study"	""	"Autoimmune"	"DR28"	"2018-09-21"
"SDY1368"	"Systems Biology of Varicella Zoster Vaccination"	"27764254"	"Vaccine Response"	"DR28"	"2018-09-21"
"SDY1370"	"Smallpox vaccination with LC16m8 vaccinia virus provides a gene expression profile similar to DryVax vaccination"	""	"Vaccine Response"	"DR28"	"2018-09-21"
"SDY1371"	"Profiling of NK cell ligands on moocytes infected with Influenza A virus"	"30143589"	"Infection Response"	"DR29"	"2019-01-16"
"SDY1373"	"Next Generation Sequencing RNA Seq data from UKE Phase I rVSV ZEBOV vaccine clinical trial, from full blood samples on Days 0,1,3,7"	"28854372"	"Vaccine Response"	"DR28"	"2018-09-21"
"SDY1385"	"Flow Cytometry of T cells for TB Resistance Study"	"31110348"	"Infection Response"	"DR30"	"2019-04-12"
"SDY1387"	"Mechanisms Underlying Asthma Exacerbations Prevented and Persistent With Immune-Based Therapy (ICAC-29)"	"30962590"	"Atopy/Allergy"	"DR31"	"2019-06-19"
"SDY1389"	"Lymph node reservoirs for long-lived memory T cells"	"30111633"	"Immune Response"	"DR29"	"2019-01-16"
"SDY1390"	"CRISPR-Cas9 Engineering in Primary Cell Protocol"	""	""	"DR29"	"2019-01-16"
"SDY1401"	"Lack of detection of a human placenta microbiome in samples from preterm and term deliveries"	"30376898"	"Preterm Birth"	"DR29"	"2019-01-16"
"SDY1409"	"MaHPIC: Host M. mulatta infected with homologous and heterologous strains of P. cynomolgi"	""	"Infection Response"	"DR29"	"2019-01-16"
"SDY1411"	"MaHPIC: Host M. mulatta infected with P. coatneyi"	""	"Infection Response"	"DR29"	"2019-01-16"
"SDY1412"	"Small Sample- Big Data- Papua New Guinea Newborn Pilot Study"	"30862783"	"Immune Response"	"DR30"	"2019-04-12"
"SDY1417"	"Pregnancy induces an earlier chronotype in both mice and women"	""	"Preterm Birth"	"DR31"	"2019-06-19"
"SDY1418"	"Multiomics modeling of the immunome, transcriptome, microbiome, proteome and metabolome adaptations during human pregnancy"	"30561547"	"Preterm Birth"	"DR29"	"2019-01-16"
"SDY1424"	"MaHPIC: Host Aotus nancymaae infected with P. vivax Brazil VII"	""	"Infection Response"	"DR29"	"2019-01-16"
"SDY1425"	"Optimization of Belatacept Usage As A Means of Avoiding CNI and steroids in Renal Transplantation (CTOT-10)"	"28556519"	"Transplantation"	"DR29"	"2019-01-16"
"SDY1426"	"Prior dengue virus infection and risk of Zika: a pediatric cohort in Nicaragua"	"30668565","668565"	"Immune Response"	"DR29"	"2019-01-16"
"SDY1432"	"Clinical Islet Transplantation Consortium (CITC)"	"23630300","24085506","24691031","25524910","25629445","27208344","27325286","27465220","27571180","28319051","29563196","30211831"	"Transplantation"	"DR30"	"2019-04-12"
"SDY1436"	"Novel correlates of protection against influenza A(H1N1)pdm virus infection"	""	"Vaccine Response"	"DR31"	"2019-06-19"
"SDY1437"	"Safety and Effectiveness of Low Molecular Weight Sulfated Dextran in Islet Transplantation (CIT-01)"	"30211831"	"Transplantation"	"DR30"	"2019-04-12"
"SDY1439"	"Adjuvanted influenza-H1N1 vaccination reveals lymphoid signatures of age-dependent early responses and of clinical adverse events."	"26726811"	"Vaccine Response"	"DR31"	"2019-06-19"
"SDY1446"	"Comparing aerosol and intradermal boost regimes of candidate TB vaccine MVA85A."	""	"Vaccine Response"	"DR30"	"2019-04-12"
"SDY1464"	"T cell responses to H1N1v and a longitudinal study of seasonal influenza vaccination SLVP015 2014"	"30842675"	"Vaccine Response"	"DR32"	"2019-09-16"
"SDY1467"	"B-cell Immunity to Influenza SLVP017 2009"	""	"Vaccine Response"	"DR32"	"2019-09-16"
"SDY1473"	"Whole exome sequencing reveals HSPA1L as a genetic risk factor for spontaneous preterm birth"	"30001343"	"Preterm Birth"	"DR31"	"2019-06-19"
"SDY1474"	"Anthropoid primate specific retroviral element THE1B controls expression of CRH in placenta and alters gestation length"	"30231016"	"Preterm Birth"	"DR31"	"2019-06-19"
"SDY1485"	"Subcutaneous Immunotherapy for Mouse in Adults (SCITMO/ICAC-26)"	"24184147"	"Atopy/Allergy"	"DR32"	"2019-09-16"
"SDY1486"	"Development of a Comprehensive Antibody Staining Database using a Standardized Analytics Pipeline"	"31244854"	"Cell Biology"	"DR32"	"2019-09-16"
"SDY1487"	"CD33 recruitment inhibits IgE-mediated anaphylaxis and desensitizes mast cells to allergen"	"30645205"	"Atopy/Allergy"	"DR31"	"2019-06-19"
"SDY1502"	"Platelets attach to lung ILC2 expressing PSGL-1 and influence ILC2 function"	""	"Atopy/Allergy"	"DR31"	"2019-06-19"
"SDY1503"	"Transcriptomes From Human Tissue Biopsies During Pregnancy"	"NA"	"Preterm Birth"	"DR31"	"2019-06-19"
"SDY1521"	"Memory B Cells with cross-reactive Abs to fluA(H1-H3)"	"29343437"	"Vaccine Response"	"DR32"	"2019-09-16"
"SDY1522"	"Longitudinal study to common vaccines"	"17989383","30096134"	"Vaccine Response"	"DR32"	"2019-09-16"
"SDY1528"	"Preeclampsia Study"	"31263463"	"Preterm Birth"	"DR32"	"2019-09-16"
"SDY1529"	"Transcriptional profiling of yellow fever vaccine-naive participants bafore and after vaccination against yellow fever."	""	"Vaccine Response"	"DR32"	"2019-09-16"
